Case Type,Macro-F1,Mean Confidence,Error Rate,Count
Civil,0.41199773627617436,0.5079629689038017,0.38461538461538464,26
Criminal,0.25299630905246473,0.47354493124590413,0.5012406947890818,403
Land,0.21866666666666665,0.49907643260173085,0.5,30
