Model,Accuracy,Macro-F1,Weighted-F1,ROC-AUC,Calibrated,MinClassTrain
Baseline (MiniLM + SVM),0.934,0.161,0.902,0.867,True,2
+ Retrieval features (k=10),0.929,0.192,0.906,0.884,True,2
