Country,Accuracy,Macro-F1,Weighted-F1,Macro ROC-AUC,N_test
Kenya,0.51440329218107,0.3408457096809394,0.4849802374471749,0.7981439599822548,486
Tanzania,0.0196078431372549,0.03125,0.0294117647058823,0.5833975464538643,51
