term,coef,std_err_hc1,t_hc1,pval_hc1
const,-234.000007083615,82.30667712007056,-2.843025806305499,0.004468745195192819
filed_year,-360.5224724525154,1.4063684685398377,-256.3499399462702,0.0
filed_month,-25.674840581502178,0.490674551252049,-52.32560057575426,0.0
filed_qtr,-13.577788129220151,1.6332434462487795,-8.313389017666355,9.300700099765698e-17
judgment_year,360.6353662609637,1.399759006872953,257.6410399863183,0.0
judgment_month,24.63388106688178,0.5958865806352673,41.33988223164869,0.0
judgment_qtr,17.293831424626426,1.9631321627069407,8.809305737612773,1.2592330595426856e-18
court_High Court Commercial Division,6.849565428951823,4.6763763552974265,1.4647164617519706,0.14299829175858572
court_High Court Labour Division,7.0112371794930555,4.676266428209312,1.4993237205643728,0.13378967158046792
court_High Court Land Division,7.595354313019483,4.5085761160856155,1.6846459098075146,0.09205690814402612
court_High Court of Tanzania,4.91865547923599,4.266159973493342,1.1529467975408227,0.24893222223699596
court_registry_Court of Appeal Dar es Salaam Registry,-6.73354660786368,5.548003193630693,-1.2136883078210974,0.22486677086471174
court_registry_Court of Appeal Dodoma Registry,0.804866900948816,5.749841649835989,0.13998070728987366,0.8886752336462137
court_registry_Court of Appeal Mbeya Registry,17.755920711254415,4.845325394642258,3.664546602151449,0.00024777712356361027
court_registry_Court of Appeal Musoma Registry,3.4389801778140066,7.213261979698399,0.4767579754475793,0.6335344740072806
court_registry_Court of Appeal Mwanza Registry,7.3679423354576095,5.905839978374798,1.2475689084764467,0.21218897047851693
court_registry_High Court Arusha Registry,3.3412269000460113,1.2890672011637019,2.5919726272065007,0.00954273639852316
court_registry_High Court Bukoba Registry,-0.18095521390294025,1.0829368061854345,-0.1670967436598094,0.8672939281770098
court_registry_High Court Chake Chake Pemba Registry,-0.655972384674236,0.7573593186354385,-0.8661310008783216,0.38641832634824314
court_registry_High Court Commercial Division Arusha,6.192828872861964,3.4434925900250675,1.7984150425649332,0.07211126073521314
court_registry_High Court Commercial Division Dar es Salaam,1.9406602875606649,1.8993931345154844,1.0217264937391213,0.30691036804276695
court_registry_High Court Commercial Division Mwanza,2.045268287880288,2.1395158404286474,0.9559491214005329,0.33909794004918536
court_registry_High Court Dar es Salaam Main Registry,-1.559363221130622,2.4581584680668005,-0.6343623657253354,0.525844364314525
court_registry_High Court Dar es Salaam Zone Registry,3.8919897203015466,1.1416100995961271,3.4092110096769765,0.0006515106500956653
court_registry_High Court Dodoma Main Registry,0.13646827267811434,1.8629898510272023,0.07325228991605587,0.941605356779371
court_registry_High Court Dodoma Registry,4.989864567323504,1.415165448520447,3.5259937787065097,0.00042189687964400895
court_registry_High Court Geita Registry,-0.6121987265114812,1.442601100628783,-0.42437145392766135,0.6712949357817197
court_registry_High Court Iringa Registry,3.1030607614855406,1.3094437175680511,2.3697549729351204,0.01779987721758994
court_registry_High Court Kigoma Registry,-1.3973427873452995,2.4336801746213244,-0.5741686199842274,0.5658537018943968
court_registry_High Court Manyara Registry,-1.2286204518281596,2.0354972970251213,-0.6035971915186465,0.5461114804842422
court_registry_High Court Mbeya Registry,1.2434191307303484,1.1783260489877077,1.05524199503063,0.2913146621735584
court_registry_High Court Morogoro Registry,1.2424508821290232,3.323965237571121,0.3737857628850847,0.7085637125712214
court_registry_High Court Moshi Registry,-0.9678448469436773,1.2134124110935802,-0.7976223401830984,0.42508968278943404
court_registry_High Court Mtwara Registry,-2.0529929267779092,1.4256233129959188,-1.44006688727865,0.14984847623576086
court_registry_High Court Musoma Registry,-2.654568778042765,1.6238747949700276,-1.6347127169319489,0.10210928536006839
court_registry_High Court Mwanza Registry,-3.4470930802483246,3.118703403331268,-1.1052968604088111,0.2690309778971127
court_registry_High Court Shinyanga Registry,4.845456623074821,1.4608180248367244,3.3169474504645415,0.0009100673189349611
court_registry_High Court Songea Main Registry,1.6477663269509402,3.2365788202388814,0.5091074305520308,0.6106769237169924
court_registry_High Court Songea Registry,1.3935308263827715,1.6688292728719498,0.8350349847259049,0.40369801085509627
court_registry_High Court Sumbawanga Registry,0.816027989216743,1.8735151924872981,0.43555984626597866,0.6631561092560975
court_registry_High Court Tabora Registry,-0.7076808312954396,1.444315058529845,-0.4899767728072997,0.6241503350645311
court_registry_High Court Tanga Registry,1.7016029270592725,1.1512059515772237,1.4781046994484095,0.13937975643317604
court_registry_High Court Vuga Registry,-1.99010261804373,1.400753787156751,-1.4207369177157385,0.15539325570949264
court_registry_One Stop Judicial Center Temeke,4.094541726678553,1.6346230954703256,2.5048842990319073,0.012249145566155622
court_registry_nan,1.2033841651367387,0.811092029880019,1.4836592159766995,0.13789935116468408
language_Kiswahili,-2.6507567597057444,1.4125782910843478,-1.8765379423118025,0.060581449731124094
