dataset,setting,accuracy,macro_f1,weighted_f1
tanzania,embeddings_only,0.9338168631006346,0.1609626504141272,0.9018578237165059
tanzania,retrieval_augmented,0.9301903898458749,0.16876321090432342,0.9015594361041388
